source_id,source_label,edge_type,target_id,target_label,aspect,condition,book,page,section,explicit,pass,status
item_wand_flame_extinguishing,Wand of Flame Extinguishing,OVERRIDES,rule_uncontrolled_fire,Fire,quenches ordinary and magical flame,,UA,96,WANDS (III.D.2.),TRUE,item-scan,optional
item_wand_steam_vapor,Wand of Steam and Vapor,TRIGGERS,rule_concealment,Vapour Cloud,creates obscuring steam,,UA,97,WANDS (III.D.2.),TRUE,item-scan,optional
item_boots_north,Boots of the North,EXCLUDES,rule_temperature,Cold,protects against extreme cold,,UA,97,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_boots_north,Boots of the North,MODIFIES,ex_movement_rate,Snow Travel,walk on snow without sinking,,UA,97,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_bracers_brachiation,Bracers of Brachiation,GATES,ex_movement_rate,Swinging Movement,travel by branch and rope,,UA,98,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_cloak_arachnidia,Cloak of Arachnidia,EXCLUDES,save_poison,Spider Venom,immunity to spider poison,,UA,98,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_cloak_arachnidia,Cloak of Arachnidia,GATES,thief_climb_walls,Wall Climbing,move as a spider,,UA,98,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_cyclocone,Cyclocone,MODIFIES,ex_movement_rate,Movement,whirlwind propulsion,,UA,98,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_egg_shattering,Egg of Shattering,TRIGGERS,rule_item_destruction,Shattering,destroys nearby brittle objects,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_gem_insight,Gem of Insight,MODIFIES,abil_intelligence,Intelligence,raises the score after months of possession,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_gem_insight,Gem of Insight,MODIFIES,abil_wisdom,Wisdom,raises the score after months of possession,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
rule_time,Continuous Possession,GATES,item_gem_insight,Gem of Insight,months of carrying are required,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_girdle_dwarvenkind,Girdle of Dwarvenkind,MODIFIES,abil_charisma,Charisma,lowered toward non-dwarves raised toward dwarves,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_girdle_dwarvenkind,Girdle of Dwarvenkind,MODIFIES,abil_constitution,Constitution,grants the dwarven bonus,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_girdle_dwarvenkind,Girdle of Dwarvenkind,MODIFIES,save_matrix,Saving Throws,confers dwarven save bonuses,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_girdle_dwarvenkind,Girdle of Dwarvenkind,GATES,race_infravision,Infravision,grants dwarven heat sight,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_girdle_dwarvenkind,Girdle of Dwarvenkind,GATES,rule_languages,Dwarvish,understand speak and read the tongue,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
race,Observer Race,FEEDS_INTO,item_girdle_dwarvenkind,Charisma Effect,the adjustment differs by who is looking,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_gloves_thievery,Gloves of Thievery,MODIFIES,thief_skills,Thief Skills,bonuses to manual functions,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_hat_stupidity,Hat of Stupidity,DERIVED_FROM,cursed_item,Cursed Item,appears a useful hat,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_hat_stupidity,Hat of Stupidity,MODIFIES,abil_intelligence,Intelligence,drastically lowered,,UA,100,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_horn_goodness_evil,Horn of Goodness/Evil,GATES,sys_alignment,Alignment,function follows the blower's alignment,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_horn_goodness_evil,Horn of Goodness/Evil,TRIGGERS,spell_protection_from_evil,Protection,raises a warding effect,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_mantle_celestian,Mantle of Celestian,EXCLUDES,save_poison,Poison,protects the wearer,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_pearl_sirines,Pearl of the Sirines,GATES,rule_water_breathing,Water Breathing,breathe and move underwater,,UA,101,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_robe_stars,Robe of Stars,GATES,rule_planar_travel,Astral Travel,enables planar movement,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_robe_stars,Robe of Stars,MODIFIES,save_matrix,Saving Throws,bonus while worn,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_robe_vermin,Robe of Vermin,DERIVED_FROM,cursed_item,Cursed Item,appears a normal robe,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_robe_vermin,Robe of Vermin,MODIFIES,cbt_initiative,Initiative,biting vermin distract the wearer,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_shadow_lanthorn,Shadow Lanthorn,MODIFIES,sys_alignment,Alignment Detection,affects alignment-sensing,,UA,102,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_courser,Courser,MODIFIES,ex_movement_rate,Movement Rate,a conjured steed of great speed,,UA,103,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_courser,Courser,FEEDS_INTO,cbt_armor_class,Armor Class,the mount has its own protection,,UA,103,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
item_spoon_stirring,Spoon of Stirring,ALTERNATIVE_TO,rule_provisions,Provisions,produces nourishing gruel,,UA,103,TREASURE (MISCELLANEOUS MAGIC),TRUE,item-scan,optional
